ID,AGE,JOB,MARITAL,EDUCATION,DEFAULT,BALANCE,HOUSING,LOAN,CONTACT,DAY,MONTH,DURATION,CAMPAIGN,PDAYS,PREVIOUS,POUTCOME,TARGET
cl/26988,40,services,married,secondary,no,10406,no,no,cellular,21,nov,348,2,127,4,other,no
cl/44045,77,retired,married,tertiary,no,1047,no,no,cellular,30,jun,108,5,-1,0,,no
cl/535,45,blue-collar,divorced,secondary,no,756,yes,no,,6,may,179,2,-1,0,,no
cl/39433,27,management,single,tertiary,no,616,yes,no,cellular,22,may,685,1,101,1,other,yes
cl/5241,36,management,married,tertiary,no,8564,yes,no,,23,may,125,1,-1,0,,no
cl/6490,43,technician,married,secondary,no,2344,yes,no,,27,may,111,2,-1,0,,no
cl/39971,23,technician,single,secondary,no,4545,no,no,cellular,3,jun,200,1,-1,0,,no
cl/11117,29,blue-collar,married,secondary,no,-565,yes,no,,18,jun,164,3,-1,0,,no
cl/30382,27,management,married,tertiary,no,312,no,no,telephone,5,feb,251,1,-1,0,,no
cl/28685,34,technician,married,secondary,no,508,no,no,cellular,30,jan,795,1,-1,0,,no
cl/8648,28,admin.,married,secondary,no,1582,yes,no,,3,jun,816,2,-1,0,,no
cl/23614,54,management,divorced,tertiary,no,0,no,no,cellular,28,aug,276,6,-1,0,,no
cl/19715,34,technician,single,secondary,no,649,no,no,cellular,7,aug,124,3,-1,0,,no
cl/33251,34,management,single,unknown,no,355,yes,no,cellular,20,apr,51,3,-1,0,,no
cl/32352,30,technician,single,tertiary,no,198,yes,no,cellular,16,apr,308,1,-1,0,,no
cl/35624,47,blue-collar,divorced,secondary,no,169,yes,no,cellular,8,may,141,2,-1,0,,no
cl/42800,43,self-employed,married,tertiary,no,2501,no,no,cellular,29,jan,153,4,-1,0,,no
cl/28703,29,services,single,tertiary,no,737,yes,yes,cellular,30,jan,499,5,248,1,failure,no
cl/19588,35,technician,single,secondary,no,176,no,no,cellular,7,aug,77,2,-1,0,,no
cl/510,58,retired,married,secondary,no,5435,yes,no,,6,may,118,1,-1,0,,no
cl/5192,48,management,married,tertiary,no,4191,no,no,,21,may,363,6,-1,0,,no
cl/40577,34,housemaid,married,secondary,no,5,no,no,telephone,21,jul,305,7,-1,0,,no
cl/2198,29,unemployed,married,secondary,no,380,no,yes,,12,may,154,2,-1,0,,no
cl/28225,40,admin.,single,secondary,no,956,yes,no,cellular,29,jan,83,1,-1,0,,no
cl/2218,41,blue-collar,married,primary,no,1052,yes,yes,,12,may,335,1,-1,0,,no
cl/15107,43,admin.,divorced,secondary,no,587,yes,no,cellular,17,jul,282,1,-1,0,,no
cl/42076,30,technician,single,tertiary,no,53,no,no,cellular,30,oct,155,1,184,1,success,no
cl/43485,62,retired,married,primary,no,1515,yes,no,cellular,15,apr,98,4,178,3,failure,no
cl/15782,33,student,married,secondary,no,0,no,no,cellular,21,jul,100,1,-1,0,,no
cl/14539,47,admin.,married,secondary,no,0,yes,no,cellular,15,jul,56,4,-1,0,,no
cl/24966,42,management,single,tertiary,yes,130,yes,yes,cellular,18,nov,112,1,-1,0,,no
cl/29276,45,admin.,married,secondary,no,1214,yes,no,cellular,2,feb,150,2,189,2,failure,no
cl/43385,80,retired,divorced,primary,no,235,no,no,cellular,31,mar,577,1,223,3,other,yes
cl/43424,33,management,single,tertiary,no,718,yes,no,cellular,6,apr,122,1,98,2,success,yes
cl/30059,54,blue-collar,married,secondary,no,688,yes,no,cellular,4,feb,379,2,-1,0,,no
cl/4872,33,blue-collar,married,primary,no,256,yes,no,,21,may,151,2,-1,0,,no
cl/481,41,technician,married,secondary,no,871,yes,no,,6,may,145,1,-1,0,,no
cl/3396,47,blue-collar,married,secondary,no,3008,yes,yes,,15,may,236,3,-1,0,,no
cl/41456,35,management,single,tertiary,no,7918,no,no,cellular,7,sep,497,1,-1,0,,yes
cl/41348,34,management,single,tertiary,no,747,no,no,cellular,31,aug,72,2,98,1,failure,no
